,Unnamed: 0,month,var8,var6,a.1,a.2,a.3,a.4,var5,b.5,b.7,b.8,b.9,b.12,b.15,b.16,b.17,b.18,b.19,b.22,c.29,c.30,var7,c.32,c.38,c.47,c.48,c.57,c.58,c.59,b.63,c.77,c.92,c.93,d.94,e.95,e.96,e.97,e.98,e.99,e.100,e.101,f.102,f.103,f.104,a.124,var3,var4,c.125,c.126,t7.158,c.159,c.160,c.161,c.162,c.163,c.164,c.165,c.166,c.167,c.168,c.169,c.170,c.171,c.172,t7.173,t7.174,t7.175,t7.176,t7.177,t7.178,t7.179,t7.180,t7.181,t7.182,a.186,var2,totshopping.rep,var1,c.187,f.188,c.189,var0,f.284,pov6
0,9,1,1.0,0.0,1,11,1,47,8,2,1,1.0,1,1,12,12,12.0,12.0,10,31,2,2,2,2,2,0.0,0.0,300.0,50.0,50.0,2,0.0,0.0,0,7,2,2,2,2,2,2,2.0,2,2,13,2.26,997702.35,0.0,0.0,2,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8.51,0.0,0.0,1,2,1,7.0,14,3.0,1
1,15,1,2.0,0.0,1,11,1,65,27,1,1,1.0,2,2,4,4,4.0,4.0,5,14,1,1,1,1,2,583.58,1.0,200.0,40.0,40.0,2,20.0,1.0,2,6,3,3,2,2,2,2,1.0,1,1,13,2.69,10259011.96,1.0,20.0,2,20.0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,49.55,20.0,0.0,1,2,2,1.0,3,3.0,1
2,16,1,2.0,0.0,1,6,1,65,27,2,1,1.0,2,2,56,56,56.0,56.0,12,45,2,2,3,2,2,0.0,1.0,950.0,300.0,300.0,2,60.0,1.0,2,7,4,4,4,4,4,4,0.0,1,2,2,2.69,10259011.96,1.0,60.0,2,60.0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,49.55,60.0,0.0,1,2,1,0.0,5,3.0,1
3,24,1,1.0,0.0,1,3,1,3,2,1,1,1.0,1,1,5,5,5.0,5.0,6,14,2,2,2,2,2,2274.1,2.0,0.0,0.0,0.0,2,0.0,0.0,0,6,2,2,2,3,2,2,2.0,1,1,10,3.62,8619300.21,0.0,0.0,2,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,62.34,0.0,0.0,1,1,1,0.0,4,0.0,1
4,32,1,1.0,0.0,1,5,1,83,3,1,1,4.0,1,1,4,4,4.0,4.0,5,14,2,2,2,2,2,786.63,2.0,400.0,150.0,150.0,2,0.0,0.0,0,5,2,2,1,1,1,1,2.0,1,2,1,3.42,1733617.83,0.0,0.0,2,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,92.38,0.0,0.0,2,2,1,0.0,2,0.0,1
5,38,1,1.0,0.0,1,5,1,58,20,2,1,4.0,2,2,3,3,3.0,3.0,4,14,2,2,2,2,1,330.0,3.0,300.0,75.0,75.0,2,100.0,1.0,2,6,2,2,2,1,2,2,2.0,2,1,2,2.91,70925050.43,1.0,100.0,2,100.0,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,100.7,100.0,0.0,2,2,1,4.0,11,2.0,1
6,39,1,1.0,0.0,1,10,1,7,48,1,1,1.0,1,2,2,2,2.0,2.0,3,14,2,2,2,2,1,412.0,2.0,200.0,50.0,50.0,2,25.0,1.0,2,7,2,2,1,1,1,1,2.0,2,2,6,3.35,7283128.88,1.0,25.0,2,25.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,28.26,25.0,0.0,1,2,1,1.0,2,0.0,1
7,40,1,1.0,0.0,1,10,1,7,48,1,1,1.0,2,2,7,7,7.0,7.0,8,14,1,1,1,1,2,840.1,2.0,350.0,60.0,60.0,2,230.0,2.0,2,6,3,1,1,1,1,1,2.0,2,2,1,3.35,7283128.88,2.0,230.0,2,115.0,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,28.26,115.0,0.0,1,2,2,1.0,1,2.0,1
8,47,1,1.0,0.0,1,3,1,18,17,1,1,1.0,1,1,3,3,3.0,3.0,4,14,2,2,2,2,2,809.54,2.0,500.0,150.0,150.0,2,30.0,1.0,2,7,2,2,1,1,1,1,2.0,2,1,3,3.52,3744975.54,1.0,30.0,2,30.0,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,24.71,30.0,0.0,1,2,1,0.0,3,1.0,1
9,51,1,1.0,0.0,1,4,1,16,17,2,1,4.0,1,1,2,2,2.0,2.0,3,31,2,2,2,2,2,0.0,0.0,0.0,15.0,15.0,2,0.0,0.0,0,7,2,2,1,1,1,1,1.0,2,1,12,3.52,3744975.54,0.0,0.0,2,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,24.71,0.0,0.0,2,2,1,7.0,14,0.0,1
10,57,1,1.0,0.0,1,3,1,7,48,2,1,4.0,2,1,3,3,3.0,3.0,4,14,2,2,2,2,2,0.0,2.0,200.0,50.0,50.0,2,200.0,1.0,2,6,2,2,1,1,1,1,2.0,2,1,2,3.35,7283128.88,1.0,200.0,2,200.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,28.26,200.0,0.0,2,1,1,0.0,5,0.0,1
11,63,1,2.0,0.0,1,7,1,57,34,2,1,1.0,2,2,4,4,4.0,4.0,5,14,1,1,1,1,2,562.06,4.0,230.0,100.0,100.0,2,250.0,1.0,2,7,2,1,1,2,2,2,2.0,1,2,3,7.04,6004575.0,1.0,250.0,2,250.0,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,26.7,250.0,0.0,1,2,3,1.0,2,3.0,1
12,82,1,0.0,2.0,1,6,1,65,27,2,1,1.0,2,1,2,2,2.0,2.0,3,14,2,2,2,2,1,200.0,1.0,300.0,70.0,70.0,2,150.0,1.0,1,7,2,2,1,3,2,2,3.0,1,1,6,1.27,10259011.96,1.0,150.0,2,150.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,49.55,150.0,0.0,1,1,1,1.0,2,2.0,1
13,91,1,0.0,1.0,1,4,1,57,34,1,1,1.0,2,2,3,3,3.0,3.0,4,14,1,1,1,1,2,685.54,5.0,1000.0,0.0,0.0,2,300.0,5.0,1,6,1,1,2,3,2,2,2.0,2,2,1,2.56,6004575.0,5.0,300.0,2,60.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,26.7,60.0,0.0,1,1,3,1.0,2,4.0,1
14,92,1,0.0,1.0,1,8,1,57,34,1,1,4.0,1,2,2,2,2.0,2.0,3,14,1,1,1,2,1,320.0,4.0,107.0,0.0,0.0,2,0.0,0.0,0,5,1,3,2,2,2,2,2.0,1,2,6,2.56,6004575.0,0.0,0.0,2,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26.7,0.0,0.0,2,2,2,1.0,1,5.0,1
